transaction_id,store_id,sku,qty,unit_price,discount,sold_at
bdd640fb-0667-4ad1-9c80-317fa3b1799d,S008,SKU0036,1,1.96,0.0,2026-08-29T08:54:58
23b8c1e9-3924-46de-beb1-3b9046685257,S019,SKU0109,1,14.02,2.8,2026-08-29T03:09:55
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,S017,SKU0155,1,2.05,0.0,2026-08-29T08:28:15
972a8469-1641-4f82-8b9d-2434e465e150,S008,SKU0115,1,11.88,2.38,2026-08-29T15:16:27
17fc695a-07a0-4a6e-8822-e8f36c031199,S014,SKU0088,5,6.65,0.0,2026-08-29T05:48:46
9a1de644-815e-46d1-bb8f-aa1837f8a88b,S003,SKU0098,3,4.38,0.0,2026-08-29T03:43:16
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,S009,SKU0012,1,8.14,0.0,2026-08-29T21:58:51
6b65a6a4-8b81-48f6-b38a-088ca65ed389,S018,SKU0076,4,11.42,1.14,2026-08-29T02:52:08
47378190-96da-4dac-b2ff-5d2a386ecbe0,S007,SKU0181,5,17.88,0.0,2026-08-29T21:01:14
c241330b-01a9-471f-9e8a-774bcf36d58b,S003,SKU0060,1,2.35,0.0,2026-08-29T10:32:10
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,S012,SKU0042,1,8.53,0.85,2026-08-29T23:08:40
371ecd7b-27cd-4130-8722-9389571aa876,S003,SKU0156,3,8.07,0.0,2026-08-29T23:35:39
1a2a73ed-562b-4f79-8374-59eef50bea63,S015,SKU0098,2,11.38,0.0,2026-08-29T05:56:57
5be6128e-18c2-4797-a142-ea7d17be3111,S011,SKU0197,3,19.81,3.96,2026-08-29T07:59:45
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,S013,SKU0069,1,5.74,0.0,2026-08-29T11:29:07
759cde66-bacf-43d0-8b1f-9163ce9ff57f,S007,SKU0168,1,5.4,1.08,2026-08-29T11:27:25
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,S009,SKU0036,4,8.82,0.88,2026-08-29T05:12:06
4b0dbb41-8d52-48f1-942c-3fe860e7a113,S019,SKU0110,2,15.28,3.06,2026-08-29T09:33:58
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,S017,SKU0127,5,8.89,0.0,2026-08-29T05:02:11
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,S006,SKU0175,1,15.48,0.0,2026-08-29T05:33:53
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,S020,SKU0120,4,12.53,1.25,2026-08-29T13:53:39
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,S004,SKU0175,5,6.15,1.23,2026-08-29T00:25:04
